"","evangelical","attend","prayschool","literal","male","white","coldeg","repubid","age"
"1",1,4,1,0,1,1,1,4,26
"2",1,6,0,0,0,1,0,5,48
"3",0,0,0,0,0,1,0,3,67
"4",0,5,1,0,0,1,0,4,39
"5",0,2,1,0,0,1,0,1,25
"6",1,0,0,0,0,1,0,0,25
"7",0,3,0,1,1,1,0,5,36
"8",1,5,0,0,0,1,0,2,44
"9",0,6,1,0,1,1,1,1,44
"10",1,8,0,1,1,1,1,6,47
"11",0,7,1,0,0,1,1,1,53
"12",0,0,0,0,1,1,1,4,52
"13",1,4,1,0,1,1,0,0,52
"14",0,6,0,0,1,1,1,6,51
"15",0,0,1,0,0,1,1,2,52
"16",0,2,0,1,1,0,1,0,40
"17",0,1,0,0,1,1,0,6,77
"18",0,0,0,0,1,1,0,3,44
"19",0,5,1,1,1,1,0,1,40
"20",0,3.26471028597095,0,0,0,0,0,3,45
"21",0,5,1,0,1,1,1,2,48
"22",0,2,0,0,0,1,1,6,49
"23",0,2,1,0,1,1,0,3,19
"24",1,7,1,0,1,1,1,4,54
"25",1,0,0,0,0,1,1,1,82
"26",0,3,0,0,0,1,0,0,83
"27",1,1,0,0,1,1,0,1,89
"28",0,7,0,0,0,1,0,6,88
"29",1,7,1,1,0,1,0,0,72
"30",0,7,0,0,0,1,0,3,82
"31",1,0,1,0,0,1,0,4,89
"32",0,6,0,0,0,1,1,1,34
"33",1,8,0,1,0,0,0,1,55
"34",0,0,0,0,1,1,0,3,37
"35",0,1,0,0,1,1,0,2,22
"36",1,8,0,0,0,0,0,1,33
"37",0,2,1,0,1,1,1,2,37
"38",0,7,0,1,1,1,0,3,43
"39",0,7,0,0,1,1,1,4,29
"40",1,3,1,1,0,1,0,6,57
"41",0,2,0,0,0,1,1,2,31
"42",0,3,0,1,0,1,0,3,45
"43",0,2,0,0,1,0,0,0,36
"44",0,0,1,0,1,1,1,2,52
"45",0,2,1,0,1,1,0,4,26
"46",0,7,0,0,0,1,0,0,46
"47",1,7,0,0,1,1,1,6,65
"48",0,2,1,0,0,1,0,4,52
"49",0,3,1,0,0,1,1,5,56
"50",1,6,1,0,1,1,1,6,66
"51",0,3,1,0,1,1,0,6,20
"52",1,6,0,1,0,1,1,6,64
"53",0,4,0,0,1,1,1,0,59
"54",1,7,0,1,0,1,0,5,46
"55",0,3,0,0,1,0,0,1,26
"56",0,3,0,0,0,0,0,3,39
"57",1,1,0,0,0,1,0,3,51
"58",1,6,0,1,0,1,1,4,45
"59",0,3,1,0,0,1,1,0,23
"60",0,4,0,0,0,1,0,5,21
"61",0,7,1,0,0,1,1,5,26
"62",1,7,0,1,0,0,1,5,31
"63",0,8,0,1,0,0,1,0,27
"64",1,0,0,1,0,1,0,2,78
"65",0,0,0,0,0,1,0,3,29
"66",0,8,1,0,1,0,0,3,43
"67",0,0,0,1,0,1,0,6,61
"68",0,2,1,0,0,1,0,0,33
"69",0,3,0,0,0,0,0,0,34
"70",0,0,1,1,0,1,0,3,89
"71",0,1,0,1,0,0,0,0,83
"72",0,7,0,1,0,0,0,0,78
